"tempo_s","deformacao","forca_N"
0.016667,-0.0008003,10.348
0.23333,0,51.742
0.31667,-0.0008003,93.135
0.33333,-0.0008003,196.62
0.35,-0.0008003,320.8
0.41667,-0.0016007,362.19
0.55,-0.0016007,403.59
0.63333,-0.0008003,444.98
0.71667,-0.0016007,486.37
0.8,-0.0008003,527.77
0.9,-0.0008003,569.16
1.0167,-0.0008003,610.55
1.2,-0.0008003,651.95
1.35,-0.0008003,693.34
1.5167,0,734.73
1.65,-0.0008003,776.13
1.8333,0,817.52
1.9833,-0.0008003,858.91
2.1333,0,900.31
2.3167,0,941.7
2.45,0.00079887,983.09
2.5833,0.00079887,1024.5
2.75,0,1065.9
2.9,0.00079887,1107.3
3.05,0.00079887,1148.7
3.2,0.00079887,1190.1
3.3667,0,1231.5
3.5,0.00079887,1272.8
3.65,0.00079887,1314.2
3.8,0.00079887,1355.6
3.9667,0.00079887,1397
4.1167,0.00079887,1438.4
4.2667,0.00079887,1479.8
4.4,0.0015977,1521.2
4.5667,0.0015977,1562.6
4.7,0.00079887,1604
4.85,0.0015977,1645.4
5,0.0015977,1686.8
5.1667,0.0023966,1728.2
5.2833,0.0023966,1769.6
5.4333,0.0015977,1811
5.6,0.0023966,1852.4
5.7333,0.0015977,1893.7
5.8833,0.0023966,1935.1
6.0333,0.0031955,1976.5
6.1667,0.0023966,2017.9
6.3167,0.0023966,2059.3
6.4667,0.0023966,2100.7
6.6,0.0031955,2142.1
6.75,0.0023966,2183.5
6.9,0.0023966,2224.9
7.0333,0.0031955,2266.3
7.1667,0.0031955,2307.7
7.3167,0.0031955,2349.1
7.4333,0.0031955,2390.5
7.5833,0.0031955,2431.9
7.7333,0.0039943,2473.3
7.8833,0.0031955,2514.6
8.0167,0.0031955,2556
8.15,0.0039943,2597.4
8.3,0.0031955,2638.8
8.4167,0.0031955,2680.2
8.5667,0.0031955,2721.6
8.7,0.0039943,2763
8.8333,0.0039943,2804.4
8.9667,0.0039943,2845.8
9.0833,0.0039943,2887.2
9.2333,0.0039943,2928.6
9.3333,0.0039943,2970
9.4667,0.0039943,3011.4
9.6,0.0047932,3052.8
9.7167,0.0047932,3094.2
9.8667,0.0039943,3135.5
9.9833,0.0047932,3176.9
10.1,0.0047932,3218.3
10.233,0.0047932,3259.7
10.367,0.0047932,3301.1
10.483,0.0047932,3342.5
10.617,0.0055921,3383.9
10.75,0.0047932,3425.3
10.867,0.0055921,3466.7
11,0.0047932,3508.1
11.1,0.0055921,3549.5
11.233,0.0055921,3590.9
11.367,0.0055921,3632.3
11.483,0.0055921,3673.7
11.6,0.0063909,3715.1
11.733,0.0055921,3756.4
11.85,0.0063909,3797.8
11.95,0.0063909,3839.2
12.083,0.0055921,3880.6
12.217,0.0055921,3922
12.333,0.0063909,3963.4
12.433,0.0063909,4004.8
12.567,0.0063909,4046.2
12.683,0.0063909,4087.6
12.817,0.0063909,4129
12.917,0.0063909,4170.4
13.05,0.0063909,4211.8
13.167,0.0063909,4253.2
13.283,0.0063909,4294.6
13.4,0.0071898,4336
13.517,0.0071898,4377.3
13.617,0.0071898,4418.7
13.733,0.0071898,4460.1
13.85,0.0071898,4501.5
13.95,0.0071898,4542.9
14.083,0.0079887,4584.3
14.183,0.0079887,4625.7
14.3,0.0071898,4667.1
14.417,0.0071898,4708.5
14.517,0.0071898,4749.9
14.65,0.0071898,4791.3
14.75,0.0079887,4832.7
14.867,0.0079887,4874.1
14.983,0.0079887,4915.5
15.1,0.0087875,4956.9
15.2,0.0079887,4998.2
15.317,0.0079887,5039.6
15.433,0.0079887,5081
15.55,0.0079887,5122.4
15.667,0.0087875,5163.8
15.767,0.0087875,5205.2
15.867,0.0087875,5246.6
15.983,0.0087875,5288
16.1,0.0087875,5329.4
16.2,0.0087875,5370.8
16.317,0.0087875,5412.2
16.433,0.0087875,5463.9
16.55,0.0095864,5505.3
16.65,0.0087875,5546.7
16.767,0.0087875,5588.1
16.867,0.0095864,5629.5
16.967,0.0095864,5670.9
17.067,0.0095864,5712.3
17.167,0.0095864,5753.7
17.283,0.0095864,5795.1
17.383,0.0095864,5836.5
17.5,0.0095864,5877.9
17.583,0.0095864,5919.3
